('the', 0.008160033391613851)
('of', 0.01306735905827888)
('and', 0.02585349077691907)
('to', 0.040635136451843856)
('is', 0.043924364309242785)
('a', 0.04768890002478284)
('in', 0.04873121408164283)
('for', 0.12803416627229416)
('by', 0.13525671022278818)
('as', 0.1628165965989098)
('that', 0.19676171960829164)
('on', 0.20972427173788344)
('with', 0.21213381015052907)
('an', 0.22553818965304678)
('it', 0.24350299520735882)
('from', 0.25381894661429844)
('are', 0.26703820773877895)
('which', 0.3168827030217673)
('at', 0.3200984485034461)
('be', 0.3275806989153972)
('or', 0.34804651297161976)
('also', 0.34985620771430587)
('has', 0.3509434178992374)
('this', 0.3920330932880227)
('more', 0.4470546094934265)
('its', 0.472477503281175)
('have', 0.4745653093102944)
('was', 0.48839797184782635)
('such', 0.4925416841792625)
('other', 0.4954076907165948)
('can', 0.5374962778003846)
('not', 0.53992404586272)
('use', 0.5648265608426376)
('their', 0.5870833757020398)
('than', 0.5906775074177577)
('these', 0.6027749015329772)
('one', 0.606993878247564)
('but', 0.6183825996152418)
('into', 0.6376076143264732)
('been', 0.641321185241744)
('used', 0.6564885572601302)
('some', 0.6623852531212191)
('all', 0.6648142176485546)
('may', 0.7105011208318361)
('energy', 0.7180738825987807)
('they', 0.7318395609265185)
('there', 0.7370906321148404)
('most', 0.7409019959225058)
('many', 0.7507912157262693)
('first', 0.7628991605628731)
('over', 0.7629896909267042)
('between', 0.7671014330538347)
('when', 0.7785288295507062)
('new', 0.7851314370257749)
('through', 0.8343773640387541)
('include', 0.8353375166231801)
('only', 0.8386541535324409)
('well', 0.8846360153186985)
('were', 0.8854428608880832)
('however', 0.8881209849701867)
('will', 0.8952498215774871)
('including', 0.9059648935936229)
('both', 0.9086038117717703)
('where', 0.917084764683229)
('while', 0.9196402517893923)
('up', 0.9265970480428359)
('being', 0.9284254380616709)
('two', 0.934591876334683)
('time', 0.949953566154992)
('about', 0.9713210013909379)
('using', 0.9747159448137691)
('system', 1.0036139155978594)
('since', 1.0134976876129946)
('large', 1.018116867238486)
('under', 1.0329426152280525)
('united', 1.0344724069418643)
('would', 1.038167668409587)
('systems', 1.056427152913274)
('states', 1.0608451925514175)
('often', 1.0716300014864366)
('during', 1.071977837257048)
('any', 1.0770719292893653)
('high', 1.0864165546270552)
('world', 1.101920700728991)
('made', 1.104204641096231)
('development', 1.107063708223117)
('part', 1.1161078350917861)
('due', 1.128562961826739)
('because', 1.129386150739713)
('so', 1.1339955613238772)
('no', 1.1373601738645938)
('within', 1.140497883691604)
('then', 1.1455204767579643)
('much', 1.1470618327716757)
('example', 1.1500346380191488)
('power', 1.1523368148523818)
('number', 1.176115262341608)
('known', 1.1806023865194912)
('if', 1.1822698754044272)
('years', 1.1832997692455884)
('based', 1.1855016121802222)
('out', 1.1884103570419677)
('several', 1.1952079497183141)
('each', 1.2061557589497396)
('developed', 1.2108909717273453)
('provide', 1.2118629679880106)
('called', 1.2118745230145869)
('around', 1.2139208360255693)
('water', 1.221156303127364)
('after', 1.230390386568178)
('had', 1.2316909933217055)
('could', 1.251500524806111)
('same', 1.2520878669424433)
('small', 1.2664811286274653)
('less', 1.2669232384425302)
('although', 1.2699881210279849)
('per', 1.2704086141758868)
('process', 1.2759321330677331)
('production', 1.2768280293576022)
('even', 1.2874982747595851)
('three', 1.291672236698501)
('different', 1.2981371744339596)
('very', 1.2981726310598145)
('those', 1.3058193914866756)
('another', 1.3087119861929444)
('us', 1.3148238355185144)
('major', 1.3174613306631855)
('natural', 1.3357599537405414)
('national', 1.3462135387492888)
('make', 1.3482574911493201)
('various', 1.363583773242282)
('technology', 1.3672840431545594)
('them', 1.3699683508741558)
('form', 1.373192763431745)
('work', 1.3740187397899013)
('now', 1.3813623454924293)
('important', 1.381472715466523)
('year', 1.3821352803095899)
('industry', 1.387268401030202)
('available', 1.3901492949842702)
('environmental', 1.4007609594546946)
('without', 1.4055999906133945)
('like', 1.4088525938920613)
('following', 1.409883268971147)
('low', 1.4175316640220414)
('according', 1.4216041951461844)
('areas', 1.4261299718635976)
('level', 1.427737963719134)
('increase', 1.4344324511042528)
('similar', 1.437415012935236)
('reduce', 1.4435474350804158)
('become', 1.4436142218437213)
('research', 1.4462647711297354)
('early', 1.4547149507591226)
('common', 1.4694996717895061)
('main', 1.470011129627103)
('still', 1.4708080447614973)
('range', 1.4739009209350808)
('must', 1.4743551765689027)
('further', 1.4751509158304024)
('usually', 1.4768661065887014)
('way', 1.4816054341649807)
('addition', 1.481816227115253)
('term', 1.4870885466706922)
('environment', 1.4876830439842232)
('who', 1.4943380548271463)
('area', 1.4947262894330713)
('considered', 1.4947765154208301)
('change', 1.4981643169799153)
('required', 1.510677339539401)
('order', 1.515791365821341)
('higher', 1.5159601993746754)
('produced', 1.5272507613889448)
('general', 1.527309226385277)
('produce', 1.5314497771923552)
('result', 1.5361997933743958)
('significant', 1.5362047660050897)
('sources', 1.5469339028970681)
('found', 1.5511328085770866)
('does', 1.5546629094261848)
('before', 1.554700953360224)
('international', 1.5559660487391356)
('total', 1.5590531309452564)
('cost', 1.559964518351295)
('current', 1.5605644266837881)
('either', 1.561717808337767)
('need', 1.56267898351865)
('countries', 1.5673053532786096)
('amount', 1.5722483531819527)
('public', 1.572625039863204)
('generally', 1.578339955483899)
('thus', 1.5827852959528226)
('given', 1.5840787718478313)
('state', 1.599193271173557)
('means', 1.6058843423345874)
('making', 1.6088134045446576)
('long', 1.6102939194104082)
('design', 1.6121808521298095)
('set', 1.6126320022426504)
('do', 1.6178393510434521)
